gn_code;code_niveau;omschrijving;douanerecht;hoofdstuk;afdeling
0201;hoofdpost;Vlees van runderen, vers of gekoeld:;;;
02011000;onderverdeling_8;hele en halve dieren;12,8 + 176,8 €/;;
020120;onderverdeling_6;andere delen, met been:;;;
02012020;onderverdeling_8;„compensated quarters”;12,8 + 176,8 €/;;
02012030;onderverdeling_8;voorvoeten en voorspannen;12,8 + 141,4 €/;;
02012050;onderverdeling_8;achtervoeten en achterspannen;12,8 + 212,2 €/;;
02012090;onderverdeling_8;andere;12,8 + 265,2 €/;;
02013000;onderverdeling_8;zonder been;12,8 + 303,4 €/;;
0202;hoofdpost;Vlees van runderen, bevroren:;;;
02021000;onderverdeling_8;hele en halve dieren;12,8 + 176,8 €/;;
020220;onderverdeling_6;andere delen, met been:;;;
02022010;onderverdeling_8;„compensated quarters”;12,8 + 176,8 €/;;
02022030;onderverdeling_8;voorvoeten en voorspannen;12,8 + 141,4 €/;;
02022050;onderverdeling_8;achtervoeten en achterspannen;12,8 + 221,1 €/;;
02022090;onderverdeling_8;andere;12,8 + 265,3 €/;;
020230;onderverdeling_6;zonder been:;;;
02023010;onderverdeling_8;voorvoeten, geheel of verdeeld in ten hoogste vijf delen, waarbij;;;
02023050;onderverdeling_8;als „crops”, „chucks and blades” en „briskets” aangeduide;12,8 + 221,1 €/;;
02023090;onderverdeling_8;ander;12,8 + 304,1 €/;;
0203;hoofdpost;Vlees van varkens, vers, gekoeld of bevroren:;;;
020311;onderverdeling_6;hele en halve dieren:;;;
02031110;onderverdeling_8;huisdieren;53,6 €/;;
02031190;onderverdeling_8;andere vrij;—;;
020312;onderverdeling_6;hammen en schouders, alsmede delen daarvan, met been:;;;
02031211;onderverdeling_8;hammen en delen daarvan;77,8 €/;;
02031219;onderverdeling_8;schouders en delen daarvan;60,1 €/;;
02031290;onderverdeling_8;andere vrij;—;;
020319;onderverdeling_6;ander:;;;
02031911;onderverdeling_8;voorstukken en delen daarvan;60,1 €/;;
02031913;onderverdeling_8;karbonadestrengen en delen daarvan;86,9 €/;;
02031915;onderverdeling_8;buiken (buikspek) en delen daarvan;46,7 €/;;
02031955;onderverdeling_8;zonder been;86,9 €/;;
02031959;onderverdeling_8;ander;86,9 €/;;
02031990;onderverdeling_8;ander vrij;—;;
020321;onderverdeling_6;hele en halve dieren:;;;
02032110;onderverdeling_8;huisdieren;53,6 €/;;
02032190;onderverdeling_8;andere vrij;—;;
020322;onderverdeling_6;hammen en schouders, alsmede delen daarvan, met been:;;;
02032211;onderverdeling_8;hammen en delen daarvan;77,8 €/;;
02032219;onderverdeling_8;schouders en delen daarvan;60,1 €/;;
02032290;onderverdeling_8;andere vrij;—;;
020329;onderverdeling_6;ander:;;;
02032911;onderverdeling_8;voorstukken en delen daarvan;60,1 €/;;
02032913;onderverdeling_8;karbonadestrengen en delen daarvan;86,9 €/;;
02032915;onderverdeling_8;buiken (buikspek) en delen daarvan;46,7 €/;;
02032955;onderverdeling_8;zonder been;86,9 €/;;
02032959;onderverdeling_8;ander;86,9 €/;;
02032990;onderverdeling_8;ander vrij;—;;
0204;hoofdpost;Vlees van schapen of van geiten, vers, gekoeld of bevroren:;;;
02041000;onderverdeling_8;hele en halve lammeren, vers of gekoeld;12,8 + 171,3 €/;;
02042100;onderverdeling_8;hele en halve dieren;12,8 + 171,3 €/;;
020422;onderverdeling_6;andere delen, met been:;;;
02042210;onderverdeling_8;voorstukken en halve voorstukken;12,8 + 119,9 €/;;
02042230;onderverdeling_8;nierstukken en/of zadels en halve nierstukken en/of zadels;12,8 + 188,5 €/;;
02042250;onderverdeling_8;achterstellen en halve achterstellen;12,8 + 222,7 €/;;
02042290;onderverdeling_8;andere;12,8 + 222,7 €/;;
02042300;onderverdeling_8;zonder been;12,8 + 311,8 €/;;
