gn_code;short_description;full_description;third_country_duty
0101210000;Pure-bred breeding horses;"Live horses, asses, mules and hinnies;- Horses;-- Pure-bred breeding animals;";0.000 %
0101291000;Horses for slaughter;"Live horses, asses, mules and hinnies;- Horses;-- Other;--- For slaughter;";0.000 %
0101299000;Live horses (excl. for slaughter, pure-bred for breeding);"Live horses, asses, mules and hinnies;- Horses;-- Other;--- Other;";11.500 %
0101300000;Live asses;"Live horses, asses, mules and hinnies;- Asses;";7.700 %
0101900000;Live mules and hinnies;"Live horses, asses, mules and hinnies;- Other;";10.900 %
0102211000;"Pure-bred breeding heifers ""female bovines that have never calved""";"Live bovine animals;- Cattle;-- Pure-bred breeding animals;--- Heifers (female bovines that have never calved);";0.000 %
0102213000;Pure-bred breeding cows (excl. heifers);"Live bovine animals;- Cattle;-- Pure-bred breeding animals;--- Cows;";0.000 %
0102219000;Pure-bred cattle for breeding (excl. heifers and cows);"Live bovine animals;- Cattle;-- Pure-bred breeding animals;--- Other;";0.000 %
0102290500;Live cattle of the sub-genus Bibos or Poephagus (excl. pure-bred for breeding);"Live bovine animals;- Cattle;-- Other;--- Of the sub-genus Bibos or of the sub-genus Poephagus;";0.000 %
0102291010;"Live cattle of a weight <= 80 kg (excl. pure-bred for breeding);Young male bovine animals, intended for fattening";"Live bovine animals;- Cattle;-- Other;--- Other;---- Of a weight not exceeding 80 kg;----- Young male bovine animals, intended for fattening;";0.000 %
0102291020;"Live cattle of a weight <= 80 kg (excl. pure-bred for breeding);Heifers of the grey, brown or yellow mountain breeds and spotted Pinzgau breed, other than for slaughter";"Live bovine animals;- Cattle;-- Other;--- Other;---- Of a weight not exceeding 80 kg;----- Heifers of the grey, brown or yellow mountain breeds and spotted Pinzgau breed, other than for slaughter;";0.000 %
0102291030;"Live cattle of a weight <= 80 kg (excl. pure-bred for breeding);Heifers of the Schwyz and Fribourg breeds, other than for slaughter";"Live bovine animals;- Cattle;-- Other;--- Other;---- Of a weight not exceeding 80 kg;----- Heifers of the Schwyz and Fribourg breeds, other than for slaughter;";0.000 %
0102291040;"Live cattle of a weight <= 80 kg (excl. pure-bred for breeding);Heifers of the spotted Simmental breed, other than for slaughter";"Live bovine animals;- Cattle;-- Other;--- Other;---- Of a weight not exceeding 80 kg;----- Heifers of the spotted Simmental breed, other than for slaughter;";0.000 %
0102291050;"Live cattle of a weight <= 80 kg (excl. pure-bred for breeding);Bulls of the Schwyz, Fribourg and spotted Simmental breeds, other than for slaughter";"Live bovine animals;- Cattle;-- Other;--- Other;---- Of a weight not exceeding 80 kg;----- Bulls of the Schwyz, Fribourg and spotted Simmental breeds, other than for slaughter;";0.000 %
0102291090;"Live cattle of a weight <= 80 kg (excl. pure-bred for breeding);Other";"Live bovine animals;- Cattle;-- Other;--- Other;---- Of a weight not exceeding 80 kg;----- Other;";0.000 %
0102292100;Cattle of a weight > 80 kg but <= 160 kg, for slaughter;"Live bovine animals;- Cattle;-- Other;--- Other;---- Of a weight exceeding 80 kg but not exceeding 160 kg;----- For slaughter;";10.200 % + 93.100 EUR DTN
0102292910;"Live cattle of a weight > 80 kg but <= 160 kg (excl. for slaughter, pure-bred for breeding);Young male bovine animals, intended for fattening";"Live bovine animals;- Cattle;-- Other;--- Other;---- Of a weight exceeding 80 kg but not exceeding 160 kg;----- Other;------ Young male bovine animals, intended for fattening;";0.000 %
0102292920;"Live cattle of a weight > 80 kg but <= 160 kg (excl. for slaughter, pure-bred for breeding);Heifers of the grey, brown or yellow mountain breeds and spotted Pinzgau breed";"Live bovine animals;- Cattle;-- Other;--- Other;---- Of a weight exceeding 80 kg but not exceeding 160 kg;----- Other;------ Heifers of the grey, brown or yellow mountain breeds and spotted Pinzgau breed;";0.000 %
0102292930;"Live cattle of a weight > 80 kg but <= 160 kg (excl. for slaughter, pure-bred for breeding);Heifers of the Schwyz and Fribourg breeds";"Live bovine animals;- Cattle;-- Other;--- Other;---- Of a weight exceeding 80 kg but not exceeding 160 kg;----- Other;------ Heifers of the Schwyz and Fribourg breeds;";0.000 %
0102292940;"Live cattle of a weight > 80 kg but <= 160 kg (excl. for slaughter, pure-bred for breeding);Heifers of the spotted Simmental breed";"Live bovine animals;- Cattle;-- Other;--- Other;---- Of a weight exceeding 80 kg but not exceeding 160 kg;----- Other;------ Heifers of the spotted Simmental breed;";0.000 %
0102292950;"Live cattle of a weight > 80 kg but <= 160 kg (excl. for slaughter, pure-bred for breeding);Bulls of the Schwyz, Fribourg and spotted Simmental breeds";"Live bovine animals;- Cattle;-- Other;--- Other;---- Of a weight exceeding 80 kg but not exceeding 160 kg;----- Other;------ Bulls of the Schwyz, Fribourg and spotted Simmental breeds;";0.000 %
0102292990;"Live cattle of a weight > 80 kg but <= 160 kg (excl. for slaughter, pure-bred for breeding);Other";"Live bovine animals;- Cattle;-- Other;--- Other;---- Of a weight exceeding 80 kg but not exceeding 160 kg;----- Other;------ Other;";0.000 %
0102294100;Cattle of a weight > 160 kg but <= 300 kg, for slaughter;"Live bovine animals;- Cattle;-- Other;--- Other;---- Of a weight exceeding 160 kg but not exceeding 300 kg;----- For slaughter;";10.200 % + 93.100 EUR DTN
