gn_code;douanerecht;type_duty
0102211000;0.000 %;DUT 3TH
0102219000;0.000 %;DUT 3TH
0102291090;10.200 % + 93.100 EUR DTN;DUT 3TH
0102909900;0.000 %;DUT 3TH
0104209000;80.500 EUR DTN;DUT 3TH
0105130000;52.000 EUR MIL;DUT 3TH
0105940000;20.900 EUR DTN;DUT 3TH
0105991000;32.300 EUR DTN;DUT 3TH
0105992000;31.600 EUR DTN;DUT 3TH
0106141000;3.800 %;DUT 3TH
0106149000;0.000 %;DUT 3TH
0106190000;0.000 %;DUT 3TH
0106310000;0.000 %;DUT 3TH
0106320000;0.000 %;DUT 3TH
0106391000;6.400 %;DUT 3TH
0106398000;0.000 %;DUT 3TH
0106490000;0.000 %;DUT 3TH
0106900000;0.000 %;DUT 3TH
0201100000;12.800 % + 176.800 EUR DTN;DUT 3TH
0201209015;12.800 % + 265.200 EUR DTN;DUT 3TH
0201300000;12.800 % + 303.400 EUR DTN;DUT 3TH
0201300039;12.800 % + 303.400 EUR DTN;DUT 3TH
0202201000;12.800 % + 176.800 EUR DTN;DUT 3TH
0202209000;12.800 % + 265.300 EUR DTN;DUT 3TH
0202305000;12.800 % + 221.100 EUR DTN;DUT 3TH
0202309000;12.800 % + 304.100 EUR DTN;DUT 3TH
0202309090;12.800 % + 304.100 EUR DTN;DUT 3TH
0203111000;53.600 EUR DTN;DUT 3TH
0203121100;77.800 EUR DTN;DUT 3TH
0203219000;0.000 %;DUT 3TH
0203291300;86.900 EUR DTN;DUT 3TH
0203299000;0.000 %;DUT 3TH
0204223000;12.800 % + 188.500 EUR DTN;DUT 3TH
0204225010;12.800 % + 222.700 EUR DTN;DUT 3TH
0204225090;12.800 % + 222.700 EUR DTN;DUT 3TH
0204229010;12.800 % + 222.700 EUR DTN;DUT 3TH
0204421010;12.800 % + 90.200 EUR DTN;DUT 3TH
0204421090;12.800 % + 90.200 EUR DTN;DUT 3TH
0204423010;12.800 % + 141.700 EUR DTN;DUT 3TH
0204423090;12.800 % + 141.700 EUR DTN;DUT 3TH
0204425010;12.800 % + 167.500 EUR DTN;DUT 3TH
0204425090;12.800 % + 167.500 EUR DTN;DUT 3TH
